N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP final_t init_energy tot_num_tap_paths_tol_1e-2 tot_num_tap_paths_tol_1e-3 tot_num_tap_paths_tol_1e-4 tot_num_tap_paths_tol_1e-5 tot_num_tap_paths_tol_1e-6 tot_num_tap_paths_tol_1e-9
416 1 4.394230769230769 2.0 149138 1 6.77778147125e+00 1.7382e-06 1.20000000000e+01 1.200000e+01 1.0000e+00 1.24430e-01 1.20000e+01 1.7814e+02 1.2000e+01 1.3129e-02 2.2483e-02 1.3129e-02 1.2823e-07 2.0000e+00 Anaheim_gamma2_3rdtry 1 0 0 0 6.488695890531401e-08 0.0002220144691430631 0.0 0.0 0.0 0.0 0.0 3.46810e-01 149137 1.20000000000e+01 22 61 98 126 132 135
416 2 4.394230769230769 2.0 148557 1 1.58790466140e+01 4.0706e-06 3.50000000000e+01 3.500000e+01 1.0000e+00 1.44758e-01 1.75000e+01 1.8639e+02 1.7500e+01 3.8293e-02 5.1185e-02 3.8293e-02 1.2817e-07 2.0000e+00 Anaheim_gamma2_3rdtry 2 0 0 0 9.55186555485002e-08 9.55186555485002e-08 0.0 0.0 0.0 0.0 0.0 2.56949e-01 148556 3.50000000000e+01 49 100 134 142 143 144
416 2 4.394230769230769 2.0 148557 2 1.17345244066e+01 3.1887e-06 2.50000000000e+01 2.500000e+01 1.0000e+00 1.86689e-01 1.25000e+01 1.8984e+02 1.2500e+01 2.7352e-02 3.7569e-02 2.7352e-02 1.3587e-07 2.0000e+00 Anaheim_gamma2_3rdtry 2 0 0 0 1.140924040875425e-06 0.0005725966335687107 0.0 0.0 0.0 0.0 0.0 3.06346e-01 148556 2.50000000000e+01 35 82 124 157 166 170
416 3 4.394230769230769 2.0 148051 2 1.57818601170e+01 4.2269e-06 3.90000000000e+01 3.700000e+01 6.6667e-01 1.58735e-01 1.30000e+01 1.9512e+02 1.2333e+01 4.0481e-02 5.7566e-02 4.2670e-02 1.3392e-07 2.0000e+00 Anaheim_gamma2_3rdtry 3 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 2.06061e-01 148050 3.70000000000e+01 57 119 154 166 169 169
416 3 4.394230769230769 2.0 148051 1 1.85371618554e+01 3.9083e-06 3.90000000000e+01 3.900000e+01 1.0000e+00 2.97383e-01 1.30000e+01 2.0123e+02 1.3000e+01 4.2670e-02 5.8855e-02 4.2670e-02 1.0542e-07 2.0000e+00 Anaheim_gamma2_3rdtry 3 0 0 0 0 1.7129952686410976e-05 0.0 0.0 0.0 0.0 0.0 3.89560e-01 148050 3.90000000000e+01 56 107 142 149 152 152
416 3 4.394230769230769 2.0 148051 0 9.04368469851e+00 6.0908e-06 3.90000000000e+01 4.100000e+01 6.6667e-01 1.06290e-01 1.30000e+01 2.1401e+02 1.2333e+01 4.0481e-02 6.0776e-02 4.2670e-02 3.3674e-07 2.0000e+00 Anaheim_gamma2_3rdtry 3 0 0 0 0 0.0017162248526597487 0.0 0.0 0.0 0.0 0.0 1.86296e-01 148050 4.10000000000e+01 76 150 212 232 235 235
416 4 4.394230769230769 2.0 147589 0 1.29111172518e+01 6.3453e-06 4.80000000000e+01 5.000000e+01 7.5000e-01 1.27971e-01 1.20000e+01 2.2063e+02 1.1500e+01 5.0328e-02 7.5747e-02 5.2516e-02 2.4573e-07 2.0000e+00 Anaheim_gamma2_3rdtry 4 0 0 0 4.849572094831098e-06 5.5009106682252016e-05 0.0 0.0 0.0 0.0 0.0 2.08643e-01 147588 5.00000000000e+01 92 168 223 248 251 254
416 4 4.394230769230769 2.0 147589 1 2.29696052283e+01 5.4701e-06 5.10000000000e+01 5.000000e+01 7.5000e-01 2.61290e-01 1.27500e+01 2.2663e+02 1.2500e+01 5.4705e-02 7.5573e-02 5.5799e-02 1.1907e-07 2.0000e+00 Anaheim_gamma2_3rdtry 4 0 0 0 0 0.0011229398190487458 0.0 0.0 0.0 0.0 0.0 3.58166e-01 147588 5.00000000000e+01 75 126 158 174 178 179
416 6 4.394230769230769 2.0 146750 1 3.10438498093e+01 7.0259e-06 6.90000000000e+01 6.800000e+01 8.3333e-01 2.41872e-01 1.15000e+01 2.3233e+02 1.1333e+01 7.4398e-02 1.0307e-01 7.5492e-02 1.1316e-07 2.0000e+00 Anaheim_gamma2_3rdtry 6 0 0 0 0 0.0009587356269464097 0.0 0.0 0.0 0.0 0.0 3.86316e-01 146749 6.80000000000e+01 95 158 200 212 216 217
416 6 4.394230769230769 2.0 146750 2 3.22376639332e+01 7.4122e-06 7.20000000000e+01 7.500000e+01 6.6667e-01 2.04672e-01 1.20000e+01 2.3469e+02 1.1500e+01 7.5492e-02 1.0095e-01 7.8775e-02 1.1496e-07 2.0000e+00 Anaheim_gamma2_3rdtry 6 0 0 0 2.1460719240758153e-08 0.00028282148277204445 0.0 0.0 0.0 0.0 0.0 2.76713e-01 146749 7.50000000000e+01 108 171 206 212 216 218
