N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
74 11 6.972972972972973 2.0 168233 16 2.56778840543e+01 3.8927e-06 4.60000000000e+01 5.600000e+01 1.0000e+00 4.65634e-01 3.63636e+00 7.6326e+01 3.6364e+00 1.5504e-01 2.0586e-01 1.5504e-01 7.5798e-08 2.0000e+00 exp_EMA_gamma2 11 0 0 0 0 0 55.0 48.27272727272727 48.18181818181818 48.18181818181818 44.18181818181818 0.0 0.0 0.0 0.0 0.0 4.79398e-01 0.111592865580863 0.11263610052442127 0.11268643778406084 0.11268643778406084 0.11345886710912176 168232 5.60000000000e+01
74 6 6.972972972972973 2.0 178596 14 1.08845269411e+01 1.4161e-06 2.60000000000e+01 3.100000e+01 6.6667e-01 3.96413e-01 4.33333e+00 7.0493e+01 3.8333e+00 8.9147e-02 1.2033e-01 1.0078e-01 6.5049e-08 2.0000e+00 exp_EMA_gamma2 6 0 0 0 0 0 708.8333333333334 378.8333333333333 378.8333333333333 378.8333333333333 313.8333333333333 0.0 0.0 0.0 0.0 0.0 4.21985e-01 0.0619368431899043 0.06208261575635795 0.06208261575635795 0.06208261575635795 0.062150008021407854 178595 3.10000000000e+01
74 21 6.972972972972973 2.0 153060 9 8.60214601079e+01 7.6459e-06 1.22000000000e+02 1.490000e+02 8.0952e-01 5.23740e-01 4.85714e+00 9.3736e+01 4.5238e+00 3.6822e-01 4.5209e-01 3.9535e-01 4.4442e-08 2.0000e+00 exp_EMA_gamma2 20 0 0 0 4.750825612632247e-07 4.750825612632247e-07 42.6 29.75 28.95 28.95 28.95 0.0 0.0 0.0 0.0 0.0 5.01858e-01 0.1314506790849693 0.1368412542962762 0.1384037542962762 0.1384037542962762 0.1384037542962762 153059 1.49000000000e+02
74 11 6.972972972972973 2.0 168233 0 4.21685754658e+01 4.8747e-06 6.50000000000e+01 6.900000e+01 1.0000e+00 4.80997e-01 5.72727e+00 8.8235e+01 5.7273e+00 2.4419e-01 2.9714e-01 2.4419e-01 5.7800e-08 2.0000e+00 exp_EMA_gamma2 11 0 0 0 0 0 267.09090909090907 153.9090909090909 153.9090909090909 153.9090909090909 148.27272727272728 0.0 0.0 0.0 0.0 0.0 5.26865e-01 0.0886222291808561 0.09389939321067216 0.09389939321067216 0.09389939321067216 0.09659206939259146 168232 6.90000000000e+01
74 2 6.972972972972973 2.0 190010 17 3.28661724532e+00 8.9965e-07 9.00000000000e+00 1.000000e+01 5.0000e-01 2.94492e-01 4.50000e+00 6.3056e+01 4.0000e+00 3.1008e-02 5.8094e-02 3.4884e-02 1.3687e-07 2.0000e+00 exp_EMA_gamma2 2 0 0 0 0 0 2574.0 1492.0 1492.0 1492.0 1173.0 0.0 0.0 0.0 0.0 0.0 1.93819e-01 0.00045483565042116474 0.0006868485986815453 0.0006868485986815453 0.0006868485986815453 0.0008572305533631501 190009 1.00000000000e+01
74 11 6.972972972972973 2.0 168233 4 3.92360381108e+01 5.0313e-06 6.20000000000e+01 8.100000e+01 9.0909e-01 4.26162e-01 4.72727e+00 8.3567e+01 4.6364e+00 1.9767e-01 2.6448e-01 2.0155e-01 6.4116e-08 2.0000e+00 exp_EMA_gamma2 11 0 0 0 0 5.877249721123606e-06 273.27272727272725 268.3636363636364 268.3636363636364 253.9090909090909 252.63636363636363 0.0 0.0 0.0 0.0 0.0 4.50687e-01 0.04350055771507127 0.045483919724463195 0.045483919724463195 0.04565004483025041 0.05464749037677446 168232 8.10000000000e+01
74 30 6.972972972972973 2.0 142783 12 1.38278911330e+02 7.9872e-06 1.69000000000e+02 2.250000e+02 9.0000e-01 6.47137e-01 4.10000e+00 1.1309e+02 3.9667e+00 4.6124e-01 5.3991e-01 4.7674e-01 2.8881e-08 2.0000e+00 exp_EMA_gamma2 30 0 0 0 0 0 59.06666666666667 37.233333333333334 37.1 37.1 37.06666666666667 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.03333333333333333 0.0 6.77289e-01 0.25337066877909165 0.2799016536721455 0.2803678541383459 0.2803678541383459 0.28314563191612374 142782 2.25000000000e+02
74 42 6.972972972972973 2.0 131947 14 2.42661934543e+02 1.3555e-05 2.92000000000e+02 3.560000e+02 9.0476e-01 6.67681e-01 4.28571e+00 1.3406e+02 4.1905e+00 6.8217e-01 7.7040e-01 6.9767e-01 2.7930e-08 2.0000e+00 exp_EMA_gamma2 42 0 0 0 1.034212290886639e-05 1.034212290886639e-05 15.714285714285714 13.238095238095237 10.428571428571429 10.428571428571429 10.380952380952381 0.19047619047619047 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.0 6.72827e-01 0.3421183889260681 0.35126617536075383 0.3551851380964605 0.3551851380964605 0.367099237069383 131946 3.56000000000e+02
74 6 6.972972972972973 2.0 178596 17 1.48499882608e+01 2.9148e-06 3.40000000000e+01 3.900000e+01 8.3333e-01 3.21821e-01 4.66667e+00 7.1551e+01 4.5000e+00 1.0465e-01 1.5040e-01 1.0853e-01 9.8143e-08 2.0000e+00 exp_EMA_gamma2 6 0 0 0 0 0 304.1666666666667 176.33333333333334 136.0 136.0 122.83333333333333 0.0 0.0 0.0 0.0 0.0 3.73819e-01 0.07907770181269701 0.08117741533320673 0.08200238822342544 0.08200238822342544 0.08268256110455033 178595 3.90000000000e+01
74 11 6.972972972972973 2.0 168233 15 3.93269987425e+01 4.0697e-06 6.30000000000e+01 6.000000e+01 9.0909e-01 5.64610e-01 4.45455e+00 8.3579e+01 4.1818e+00 1.7829e-01 2.3286e-01 1.8992e-01 5.1742e-08 2.0000e+00 exp_EMA_gamma2 11 0 0 0 9.958777616914148e-07 9.958777616914148e-07 265.27272727272725 141.63636363636363 95.81818181818181 95.81818181818181 95.45454545454545 0.09090909090909091 0.09090909090909091 0.09090909090909091 0.09090909090909091 0.0 5.62193e-01 0.10160295509452122 0.16576272767259742 0.17230536357411258 0.17230536357411258 0.1844352238204112 168232 6.00000000000e+01
