N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
128 2 3.0 0.5 6000 3 1.20000000000e+01 0.0000e+00 1.20000000000e+01 1.200000e+01 1.0000e+00 1.00000e+00 6.00000e+00 1.6868e-03 6.0000e+00 6.2500e-02 6.2500e-02 6.2500e-02 -2.2204e-16 2.0000e+00 exp_highM_3_gamma_05 2 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 2 1.20000000000e+01
128 2 3.0 0.5 6000 17 1.10000000000e+01 0.0000e+00 1.10000000000e+01 1.100000e+01 1.0000e+00 1.00000e+00 5.50000e+00 1.6799e-03 5.5000e+00 5.7292e-02 5.7292e-02 5.7292e-02 -2.2204e-16 2.0000e+00 exp_highM_3_gamma_05 2 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 2 1.10000000000e+01
128 6 3.0 0.5 6000 14 3.54142135624e+01 0.0000e+00 3.54142135624e+01 3.307107e+01 1.0000e+00 1.00000e+00 6.00000e+00 3.0999e-03 6.0000e+00 1.8750e-01 1.8750e-01 1.8750e-01 -6.6613e-16 2.0000e+00 exp_highM_3_gamma_05 6 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 2 3.54142135624e+01
128 9 3.0 0.5 6000 15 3.68994949366e+01 0.0000e+00 3.68994949366e+01 3.689949e+01 1.0000e+00 1.00000e+00 4.55556e+00 4.5047e-03 4.5556e+00 2.1354e-01 2.1354e-01 2.1354e-01 -4.4409e-16 2.0000e+00 exp_highM_3_gamma_05 9 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 2 3.68994949366e+01
128 27 3.0 0.5 6000 2 1.01715762690e+02 0.0000e+00 1.01715762690e+02 1.063833e+02 9.6296e-01 1.00000e+00 4.96296e+00 9.2826e-03 4.8889e+00 6.8750e-01 6.9792e-01 6.9792e-01 1.1102e-15 2.0000e+00 exp_highM_3_gamma_05 27 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 9.62963e-01 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 2 1.05115369203e+02
128 27 3.0 0.5 6000 13 1.25722335399e+02 0.0000e+00 1.25722335399e+02 1.280867e+02 9.6296e-01 1.00000e+00 5.74074e+00 1.0543e-02 5.7037e+00 8.0208e-01 8.0729e-01 8.0729e-01 8.8818e-16 2.0000e+00 exp_highM_3_gamma_05 27 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 9.62963e-01 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 0.9629629629629629 2 1.28136548962e+02
128 57 3.0 0.5 6000 14 1.97671379019e+02 0.0000e+00 1.97671379019e+02 2.082582e+02 9.2982e-01 1.00000e+00 5.64912e+00 1.9863e-02 5.5789e+00 1.6562e+00 1.6771e+00 1.6771e+00 1.7764e-15 2.0000e+00 exp_highM_3_gamma_05 57 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 9.29825e-01 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 0.9298245614035088 3 2.15667091266e+02
128 170 3.0 0.5 6000 13 3.68968120045e+02 0.0000e+00 3.68968120045e+02 3.944677e+02 8.3529e-01 1.00000e+00 5.34118e+00 6.7519e-02 5.1118e+00 4.5260e+00 4.7292e+00 4.7292e+00 0.0000e+00 2.0000e+00 exp_highM_3_gamma_05 170 0 0 0 0 0 1.0176470588235293 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.35294e-01 0.8294117647058824 0.8352941176470589 0.8352941176470589 0.8352941176470589 0.8352941176470589 7 3.93696601884e+02
128 170 3.0 0.5 6000 5 3.82354623091e+02 0.0000e+00 3.82354623091e+02 3.987839e+02 8.8235e-01 1.00000e+00 5.36471e+00 6.4185e-02 5.2235e+00 4.6250e+00 4.7500e+00 4.7500e+00 3.3307e-16 2.0000e+00 exp_highM_3_gamma_05 170 0 0 0 0 0 1.0058823529411764 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.82353e-01 0.8794117647058823 0.8823529411764706 0.8823529411764706 0.8823529411764706 0.8823529411764706 6 3.99521935911e+02
128 170 3.0 0.5 6000 1 3.67742855530e+02 0.0000e+00 3.67742855530e+02 3.880535e+02 8.7647e-01 1.00000e+00 5.09412e+00 7.0210e-02 4.9529e+00 4.3854e+00 4.5104e+00 4.5104e+00 -2.2204e-16 2.0000e+00 exp_highM_3_gamma_05 169 0 0 0 0 0 1.0059171597633136 1.0059171597633136 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.76471e-01 0.8757396449704142 0.8757396449704142 0.8757396449704142 0.8757396449704142 0.8757396449704142 7 3.85462629554e+02
128 170 3.0 0.5 6000 19 3.75903837647e+02 0.0000e+00 3.75903837647e+02 3.954817e+02 8.8235e-01 1.00000e+00 5.28235e+00 6.7062e-02 5.1118e+00 4.5260e+00 4.6771e+00 4.6771e+00 -6.6613e-16 2.0000e+00 exp_highM_3_gamma_05 169 0 0 0 0 0 1.0118343195266273 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.82353e-01 0.8816568047337278 0.8816568047337278 0.8816568047337278 0.8816568047337278 0.8816568047337278 6 3.93983811489e+02
128 170 3.0 0.5 6000 9 3.59980729379e+02 0.0000e+00 3.59980729379e+02 3.912099e+02 7.8824e-01 1.00000e+00 5.52353e+00 7.8743e-02 5.1706e+00 4.5781e+00 4.8906e+00 4.8906e+00 4.4409e-16 2.0000e+00 exp_highM_3_gamma_05 167 0 0 0 0 0 1.0059880239520957 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 7.88235e-01 0.781437125748503 0.7844311377245509 0.7844311377245509 0.7844311377245509 0.7844311377245509 9 3.90100521061e+02
128 170 3.0 0.5 6000 14 3.69130468769e+02 0.0000e+00 3.69130468769e+02 3.940263e+02 8.3529e-01 1.00000e+00 5.57059e+00 7.0523e-02 5.3000e+00 4.6927e+00 4.9323e+00 4.9323e+00 4.4409e-16 2.0000e+00 exp_highM_3_gamma_05 169 0 0 0 0 0 1.017751479289941 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.35294e-01 0.8313609467455622 0.834319526627219 0.834319526627219 0.834319526627219 0.834319526627219 7 3.98002037877e+02
128 246 3.0 0.5 6000 19 4.51809932746e+02 0.0000e+00 4.51809932746e+02 4.763320e+02 8.3333e-01 1.00000e+00 5.38211e+00 1.0484e-01 5.1016e+00 6.5365e+00 6.8958e+00 6.8958e+00 3.3307e-16 2.0000e+00 exp_highM_3_gamma_05 242 0 0 0 0 0 1.0041322314049588 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.33333e-01 0.8285123966942148 0.8305785123966942 0.8305785123966942 0.8305785123966942 0.8305785123966942 10 4.75158999990e+02
128 354 3.0 0.5 6000 11 5.56231945482e+02 0.0000e+00 5.56231945482e+02 5.753873e+02 8.8701e-01 1.00000e+00 5.25989e+00 1.3341e-01 5.1045e+00 9.4115e+00 9.6979e+00 9.6979e+00 -2.2204e-16 2.0000e+00 exp_highM_3_gamma_05 350 0 0 0 0 0 1.002857142857143 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 8.87006e-01 0.8842857142857142 0.8857142857142857 0.8857142857142857 0.8857142857142857 0.8857142857142857 5 5.75750679168e+02
