N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6
32 1 3.0 2.0 393487 2 1.09911070342e+00 9.3280e-08 3.00000000000e+00 3.000000e+00 1.0000e+00 2.62666e-01 3.00000e+00 2.8457e+01 3.0000e+00 6.2500e-02 1.0291e-01 6.2500e-02 4.2434e-08 2.0000e+00 exp_highM_vartmax_final 1 0 0 0 0 0 73.0 42.0 42.0 42.0 42.0 0.0 0.0 0.0 0.0 0.0 5.13002e-01 0.0273972602739726 0.047619047619047616 0.047619047619047616 0.047619047619047616 0.047619047619047616
32 6 3.0 2.0 245371 15 1.25236715776e+01 4.3682e-07 1.80000000000e+01 1.800000e+01 1.0000e+00 6.67974e-01 2.66667e+00 2.8532e+01 2.6667e+00 3.3333e-01 3.9785e-01 3.3333e-01 1.7440e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 4.5 4.5 4.5 4.5 4.5 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.0 7.21463e-01 0.5029761904761905 0.5029761904761905 0.5029761904761905 0.5029761904761905 0.5029761904761905
32 2 3.0 2.0 343585 10 2.75099588852e+00 2.3374e-07 5.00000000000e+00 5.000000e+00 1.0000e+00 5.33704e-01 2.50000e+00 2.8733e+01 2.5000e+00 1.0417e-01 1.7755e-01 1.0417e-01 4.2482e-08 2.0000e+00 exp_highM_vartmax_final 2 0 0 0 0 0 14.0 12.5 12.5 12.5 12.5 0.0 0.0 0.0 0.0 0.0 5.33704e-01 0.10606060606060605 0.10964912280701754 0.10964912280701754 0.10964912280701754 0.10964912280701754
32 11 3.0 2.0 189753 15 3.31968169242e+01 1.5003e-06 4.10000000000e+01 4.200000e+01 9.0909e-01 7.49100e-01 2.81818e+00 2.9325e+01 2.7273e+00 6.2500e-01 7.1030e-01 6.4583e-01 2.2597e-08 2.0000e+00 exp_highM_vartmax_final 11 0 0 0 0 0 2.727272727272727 2.5454545454545454 2.4545454545454546 2.4545454545454546 2.4545454545454546 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.2727272727272727 0.0 7.55435e-01 0.5393939393939393 0.5515151515151515 0.5606060606060606 0.5606060606060606 0.5606060606060606
32 8 3.0 2.0 218567 6 2.34244496927e+01 1.1373e-06 2.90000000000e+01 3.300000e+01 7.5000e-01 6.15891e-01 3.37500e+00 2.9790e+01 3.1250e+00 5.2083e-01 5.9546e-01 5.6250e-01 2.4275e-08 2.0000e+00 exp_highM_vartmax_final 8 0 0 0 0 0 3.375 3.25 3.25 3.25 3.25 0.125 0.125 0.125 0.125 0.0 6.55499e-01 0.44702380952380955 0.45952380952380956 0.45952380952380956 0.45952380952380956 0.45952380952380956
32 6 3.0 2.0 245371 18 1.26228211633e+01 6.8934e-07 1.70000000000e+01 1.700000e+01 1.0000e+00 7.10221e-01 2.83333e+00 3.0153e+01 2.8333e+00 3.5417e-01 4.3764e-01 3.5417e-01 2.7305e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 5.5 5.166666666666667 5.166666666666667 5.166666666666667 5.0 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.0 7.12671e-01 0.3367521367521367 0.3414141414141414 0.3414141414141414 0.3414141414141414 0.3553030303030303
32 7 3.0 2.0 230955 3 2.41618817786e+01 5.6699e-07 3.20000000000e+01 3.400000e+01 1.0000e+00 5.99854e-01 3.71429e+00 3.1108e+01 3.7143e+00 5.4167e-01 6.0383e-01 5.4167e-01 1.1733e-08 2.0000e+00 exp_highM_vartmax_final 7 0 0 0 0 0 3.7142857142857144 3.142857142857143 3.142857142857143 3.142857142857143 3.142857142857143 0.0 0.0 0.0 0.0 0.0 7.22278e-01 0.4047619047619047 0.4714285714285715 0.4714285714285715 0.4714285714285715 0.4714285714285715
32 14 3.0 2.0 168967 5 5.90965621808e+01 2.2605e-06 7.00000000000e+01 1.060000e+02 8.5714e-01 6.94107e-01 3.28571e+00 3.3939e+01 3.0000e+00 8.7500e-01 9.8957e-01 9.5833e-01 1.9126e-08 2.0000e+00 exp_highM_vartmax_final 14 0 0 0 0 0 2.7857142857142856 2.7142857142857144 2.7142857142857144 2.7142857142857144 2.7142857142857144 0.21428571428571427 0.21428571428571427 0.21428571428571427 0.21428571428571427 0.0 7.79491e-01 0.6518707482993198 0.6535714285714286 0.6535714285714286 0.6535714285714286 0.6535714285714286
32 14 3.0 2.0 168967 10 7.82988069713e+01 1.3948e-06 8.70000000000e+01 9.500000e+01 9.2857e-01 7.20927e-01 3.50000e+00 3.4412e+01 3.3571e+00 9.7917e-01 1.0865e+00 1.0208e+00 8.9067e-09 2.0000e+00 exp_highM_vartmax_final 14 0 0 0 0 0 2.7142857142857144 2.7142857142857144 2.7142857142857144 2.7142857142857144 2.7142857142857144 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.0 7.96537e-01 0.6178571428571429 0.6178571428571429 0.6178571428571429 0.6178571428571429 0.6178571428571429
32 2 3.0 2.0 343585 17 3.55219859888e+00 2.3515e-07 8.00000000000e+00 8.000000e+00 1.0000e+00 3.23281e-01 4.00000e+00 3.3176e+01 4.0000e+00 1.6667e-01 2.1646e-01 1.6667e-01 3.3099e-08 2.0000e+00 exp_highM_vartmax_final 2 0 0 0 0 0 17.5 16.0 16.0 16.0 16.0 0.0 0.0 0.0 0.0 0.0 4.35536e-01 0.08333333333333333 0.09126984126984126 0.09126984126984126 0.09126984126984126 0.09126984126984126
