N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
32 2 3.0 4.0 343585 17 8.18375000000e+00 1.9726e-09 8.24000000000e+00 8.240000e+00 1.0000e+00 7.50000e-01 4.00000e+00 2.5485e+01 4.0000e+00 1.6667e-01 1.6667e-01 1.6667e-01 2.2117e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 2 0 0 0 0 0 1.5 1.5 1.5 1.5 1.5 0.5 0.5 0.5 0.5 0.5 1.00000e+00 1.0 1.0 1.0 1.0 1.0 343584 8.24000000000e+00
32 6 3.0 4.0 245371 13 2.09815913770e+01 1.5555e-08 2.13700000000e+01 2.947000e+01 1.0000e+00 8.25833e-01 3.16667e+00 2.5834e+01 3.1667e+00 3.9583e-01 4.1028e-01 3.9583e-01 5.9519e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 1.6666666666666667 1.6666666666666667 1.6666666666666667 1.6666666666666667 1.6666666666666667 0.5 0.5 0.5 0.5 0.16666666666666666 9.09166e-01 0.8055555555555555 0.8055555555555555 0.8055555555555555 0.8055555555555555 0.8055555555555555 245370 2.94700000000e+01
32 11 3.0 4.0 189753 0 3.89085208623e+01 1.8666e-07 4.05500000000e+01 4.672000e+01 9.0909e-01 8.52904e-01 3.18182e+00 2.8049e+01 3.0909e+00 7.0833e-01 7.4854e-01 7.2917e-01 3.6728e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 11 0 0 0 0 0 1.7272727272727273 1.7272727272727273 1.7272727272727273 1.7272727272727273 1.7272727272727273 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.18181818181818182 8.24533e-01 0.6969696969696969 0.6969696969696969 0.6969696969696969 0.6969696969696969 0.6969696969696969 189752 4.67200000000e+01
32 4 3.0 4.0 283185 18 1.12930523942e+01 8.1877e-09 1.13300000000e+01 1.133000e+01 1.0000e+00 9.57148e-01 2.75000e+00 2.7669e+01 2.7500e+00 2.2917e-01 2.2917e-01 2.2917e-01 6.5684e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 4 0 0 0 0 0 1.25 1.25 1.25 1.25 1.25 0.75 0.75 0.75 0.75 0.5 1.00000e+00 1.0 1.0 1.0 1.0 1.0 283184 1.22300000000e+01
32 2 3.0 4.0 343585 10 5.15000000000e+00 0.0000e+00 5.15000000000e+00 5.150000e+00 1.0000e+00 1.00000e+00 2.50000e+00 2.7516e+01 2.5000e+00 1.0417e-01 1.0417e-01 1.0417e-01 0.0000e+00 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 2 0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 343584 5.15000000000e+00
32 6 3.0 4.0 245371 15 1.70475229233e+01 1.0082e-07 1.73800000000e+01 1.738000e+01 1.0000e+00 8.59252e-01 2.66667e+00 2.8135e+01 2.6667e+00 3.3333e-01 3.4051e-01 3.3333e-01 5.0765e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 1.6666666666666667 1.6666666666666667 1.6666666666666667 1.6666666666666667 1.6666666666666667 0.5 0.5 0.5 0.5 0.5 9.42586e-01 0.8055555555555557 0.8055555555555557 0.8055555555555557 0.8055555555555557 0.8055555555555557 245370 1.73800000000e+01
32 7 3.0 4.0 230955 10 2.15739425044e+01 3.1957e-08 2.24000000000e+01 2.330000e+01 1.0000e+00 9.34191e-01 2.85714e+00 2.8627e+01 2.8571e+00 4.1667e-01 4.2626e-01 4.1667e-01 1.2279e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 7 0 0 0 0 0 1.1428571428571428 1.1428571428571428 1.1428571428571428 1.1428571428571428 1.1428571428571428 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.5714285714285714 9.34191e-01 0.9285714285714286 0.9285714285714286 0.9285714285714286 0.9285714285714286 0.9285714285714286 230954 2.24000000000e+01
32 6 3.0 4.0 245371 16 1.87615728615e+01 3.6201e-08 1.91800000000e+01 2.355000e+01 8.3333e-01 9.21639e-01 2.66667e+00 2.8725e+01 2.5000e+00 3.1250e-01 3.4773e-01 3.3333e-01 1.3386e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 1.5 1.5 1.5 1.5 1.5 0.5 0.5 0.5 0.5 0.16666666666666666 7.91804e-01 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 245370 2.35500000000e+01
32 1 3.0 4.0 393487 2 3.03375000000e+00 1.7123e-09 3.09000000000e+00 3.090000e+00 1.0000e+00 5.00000e-01 3.00000e+00 2.9094e+01 3.0000e+00 6.2500e-02 6.2500e-02 6.2500e-02 5.4037e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 1 0 0 0 0 0 2.0 2.0 2.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 1.00000e+00 1.0 1.0 1.0 1.0 1.0 393486 3.09000000000e+00
32 7 3.0 4.0 230955 11 2.43319876999e+01 2.3755e-07 2.61300000000e+01 2.613000e+01 1.0000e+00 8.32980e-01 3.00000e+00 2.9468e+01 3.0000e+00 4.3750e-01 4.5772e-01 4.3750e-01 7.0325e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 7 0 0 0 0 0 1.7142857142857142 1.7142857142857142 1.7142857142857142 1.7142857142857142 1.7142857142857142 0.42857142857142855 0.42857142857142855 0.42857142857142855 0.42857142857142855 0.14285714285714285 8.90543e-01 0.761904761904762 0.761904761904762 0.761904761904762 0.761904761904762 0.761904761904762 230954 2.61300000000e+01
